GARDEN NAME,Address,Borough,Zip,What-this,Community District,COUNCIL DISTRICT,GROW FOOD,FRUIT TREES
Siempre Verde Garden,"181 Stanton Street
- 137 Attorney Street",Manhattan,10002,DPR,M03,,Yes,Yes
The Humanitarians Garden,"270-272 East
Fourth Street",Manhattan,10009,DPR,M03,,No,Yes
Toyota Childrens Learning Garden (Coradan Evaeden),603 East 11th Street,Manhattan,10009,NYRP,M03,,No,No
Vamos A Sembrar,198 Avenue B,Manhattan,10009,DPR,M03,,No,Yes
Clinton Community Garden,436 West 48th Street,Manhattan,10036,DPR,M04,,Yes,Yes
Oasis Community Garden,505 West 52nd Street,Manhattan,10019,DPR,M04,,Yes,No
La Perla Community Garden,76 W. 105th Street,Manhattan,10025,DPR/MLT,M07,,Yes,Yes
Mobilization For Change Community Garden,955 Columbus Avenue,Manhattan,10025,DPR,M07,,Yes,Yes
West 104th Street Garden,8 West 104th Street,Manhattan,10025,DPR,M07,,Yes,Yes
West 87th Street Park & Garden,55-57 West 87th Street,Manhattan,10024,DPR,M07,,No,No
Columbia Secondary School Community Garden,1195 Amsterdam Ave,Manhattan,10027,DPR,M09,,Yes,No
Edgecomb Avenue Garden Park Sanctuary,339 Edgecomb Avenue,Manhattan,10031,DPR,M09,,No,Yes
Frank White Memorial Garden,506 West 143rd Street,Manhattan,10031,DPR/PRI,M09,,Yes,Yes
Friendship Garden (Lucille Mcclarey Garden),499 West 150th Street,Manhattan,10031,NYRP,M09,,No,No
Harlem Grown P.S. 125 Community Garden,425 West 123rd Street,Manhattan,10027,DPR,M09,,Yes,Yes
Hope Steven Garden,1656 Amsterdam Avenue,Manhattan,10031,MLT,M09,,No,No
Hope: The Friendly Garden On The Hill  (Senior Citizen Sculpture Garden),466 West 152nd Street,Manhattan,10031,DEP,M09,,No,No
Jenny’s Garden,699 West 138th Street,Manhattan,10031,DPR,M09,,Yes,Yes
Maggie's Garden,564 West 149th Street,Manhattan,10031,NYRP,M09,,No,No
Mo' Pals,545 West 147th Street,Manhattan,10031,MLT,M09,,No,No
Serenity Gardens,522 West 146th Street,Manhattan,10031,MLT,M09,,No,No
St. Luke's Community Garden,435 West 141st Street,Manhattan,10031,PRI,M09,,No,No
Sugar Hill Park,333 Edgecombe Avenue,Manhattan,10031,DPR,M09,,Yes,Yes
William A. Harris Garden,869 St Nicholas Ave,Manhattan,10032,DPR,M09,,Yes,Yes
133rd Swing Street Garden,155 West 133rd Street,Manhattan,10030,DPR,M10,,Yes,Yes
Bradhurst Gardens Associa- tion (Garden Of Love),"321 W 152nd
Street",Manhattan,10039,DPR,M10,,Yes,Yes
Carrie McCracken TRUCE- Garden,145 St. Nicholas Avenue,Manhattan,10026,DPR,M10,,No,Yes
Clayton Williams Garden,"303 W 126th
Street",Manhattan,10027,DPR/MLT,M10,,Yes,Yes
GARDEN NAME,,,,,,,,
Edward P. Bowman Park,52 West 129th Street,Manhattan,10027,DPR,M10,9,Yes,No
Electric Ladybug Garden,237 West 111th Street,Manhattan,10026,DPR,M10,9,Yes,Yes
Elizabeth Langley Memorial Garden,"121-123 West
137th Street",Manhattan,10030,DPR,M10,9,Yes,Yes
Five Star Gardens,252 West 121st Street,Manhattan,10027,MLT,M10,9,No,No
Garden Of Love,302 West 116th Street,Manhattan,10026,DPR,M10,9,Yes,No
Harlem Grown 127th Street Learning Annex,128 West 127th Street,Manhattan,10027,DPR,M10,9,No,No
Harlem Grown 131st Street Farm,34 West 131st Street,Manhattan,10037,DPR,M10,9,Yes,No
Harlem Grown 134th Street Farm,116 West 134th Street,Manhattan,10030,DPR,M10,9,Yes,Yes
Harlem Grown 134th Street Green House,126 West 134th Street,Manhattan,10030,DPR,M10,9,Yes,No
Harlem Valley Garden,197 West 134th Street,Manhattan,10030,DPR,M10,9,Yes,Yes
Harlem Village Green,54 W 129th Street,Manhattan,10027,PRI,M10,9,No,No
Joseph Daniel Wilson Me- morial Gardens,"219 W. 122nd
Street",Manhattan,10027,DPR,M10,9,Yes,No
Luigi's Garden Of Love,227 West 115th Street,Manhattan,10026,DPR,M10,9,Yes,No
New 123rd Street Block Association Community Garden,"116 W. 123rd
Street",Manhattan,10027,DPR,M10,9,Yes,Yes
Love Garden,230 West 129th Street,Manhattan,10027,NYCHA,M10,9,No,No
Our Little Green Acre (Gar- den Eight),277 West 122nd Street,Manhattan,10027,DPR,M10,9,Yes,Yes
"Our Neighborhood Place
- Abyssinian Development Corp.",77 West 127th Street,Manhattan,10027,PRI,M10,9,No,No
P.S. 76 - Garden Of Per- serverance,"203 W. 120th
Street",Manhattan,10027,DPR,M10,9,Yes,No
Rev. Linnette C. Williamson Memorial Park,"65-67 W. 128th
Street",Manhattan,10027,PRI,M10,9,No,No
Robert L. Clinkscales Play- ground And Community Garden  (C.G. Of West 146th St.),234 West 146th Street,Manhattan,10039,DPR,M10,9,Yes,Yes
St. Nicholas Miracle Garden,330 St. Nicholas Avenue,Manhattan,10027,DPR,M10,9,Yes,No
Unity Park,55 West 128th Street,Manhattan,10027,DPR,M10,9,Yes,Yes
Walter Miller III Memorial Garden (La Casa Frela),13 West 119th Street,Manhattan,10026,DPR,M10,9,Yes,No
West 124th Street Commu- nity Garden,75 West 124th Street,Manhattan,10027,DPR,M10,9,Yes,Yes
West 132nd Street Garden,"108-114 W. 132nd
Street",Manhattan,10027,DPR,M10,9,Yes,Yes
William B. Washington Memorial Garden,325 West 126th Street,Manhattan,10027,DPR,M10,9,Yes,No
103rd Street Community Garden,105 East 103rd Street,Manhattan,10029,NYRP,M11,8,No,No
117th Street Community Garden,172 East 117th Street,Manhattan,10035,DPR,M11,8,No,No
GARDEN NAME,,,,,,,,
Carolina Garden (Formerly 116th Street Block Assoc.),102 East 122nd Street,Manhattan,10035,DPR,M11,9,Yes,Yes
Carver Community Garden,"236-242 East
124th Street",Manhattan,10035,MLT,M11,8,Yes,Yes
Corozal Family,170 East 117th Street,Manhattan,10035,DPR,M11,8,Yes,No
Diamante Garden / Dimantis Garden,307 East 118th Street,Manhattan,10035,DPR,M11,8,Yes,Yes
East Harlem Community Garden,"429-433 East
117th Street",Manhattan,10035,MLT,M11,8,No,No
El Barrio Community Garden,"415-421 East
117th Street",Manhattan,10035,DPR,M11,8,No,No
El Cataño Garden,171 East 110th Street,Manhattan,10029,NYRP,M11,8,No,No
El Gallo Community Garden,1891-1895 Lexing- ton Avenue,Manhattan,10035,DPR,M11,8,Yes,Yes
Family Community Garden Manhattan,156 East 111th Street,Manhattan,10029,DPR,M11,8,Yes,Yes
Family Garden By Ti!any & Co.,431 East 114th Street,Manhattan,10029,NYRP,M11,8,No,No
Harlem Rose Garden,8 East 129th Street,Manhattan,10035,DPR,M11,9,No,No
Herb Garden (Formerly 111th St. Betterment Assoc.),176 E 111th Street,Manhattan,10029,NYRP,M11,8,No,No
Home Depot Children's Garden,421 East 117th Street,Manhattan,10035,NYRP,M11,8,No,No
Humacao Community Garden,335 E 108th Street,Manhattan,10029,DPR,M11,8,Yes,Yes
Jackie Robinson Community Garden,103 East 122nd Street,Manhattan,10035,DPR/HPD,M11,9,Yes,Yes
La Casita,223 E. 119th Street,Manhattan,10035,NYRP,M11,8,No,No
La Cuevita Community Garden,71 East 115th Street,Manhattan,10029,DPR,M11,8,Yes,Yes
"Life Spire (Crmd, Inc.)",2015 Lexington Avenue,Manhattan,10035,DPR,M11,8,No,No
Los Amigos Garden NYRP,326 Pleasant Avenue,Manhattan,10035,NYRP,M11,8,No,No
Lydia's Magic Garden (El Girasol Magic Garden),1665 Park Avenue,Manhattan,10035,DPR,M11,8,Yes,Yes
Maggie's Magic Garden,1574 Lexington Avenue,Manhattan,10029,DPR,M11,8,Yes,Yes
Neighbors Of Vega Baja,320 E. 109th Street,Manhattan,10029,DPR,M11,8,Yes,Yes
Pa'lante Community Garden (110th Street Block Assoc.),1651 Madison Avenue,Manhattan,10029,DPR,M11,8,Yes,Yes
Papo's Garden,220 E. 119th Street,Manhattan,10035,MLT,M11,8,No,No
Peaceful Valley,52 East 117th Street,Manhattan,10035,DPR,M11,8,No,Yes
Pleasant Village Community Garden,342-353 Pleasant Avenue,Manhattan,10035,DPR/HPD,M11,8,Yes,Yes
Pueblo Unido,1659 Madison Avenue,Manhattan,10029,DPR,M11,8,Yes,Yes
Rodale Pleasant Park Com- munity Garden,437 East 114th St/448-450 East 115th St,Manhattan,10029,DPR/NYRP,M11,8,Yes,Yes
Dorothy K. Mcgowan Me- morial Garden,"513 W 158th
Street",Manhattan,10032,DPR,M12,7,Yes,Yes
Morris Jumel Community Garden,"455-457 W 162nd
Street",Manhattan,10032,DPR,M12,10,Yes,No
RING - Riverside Inwood Neighborhood Garden,236 Dyckman Street,Manhattan,10034,DPR,M12,10,No,No
GARDEN NAME,,,,,,,,
West 181st Street Beauti!ca- tion Project,814 West 181st Street,Manhattan,10033,DOT,M12,10,No,No
Two Coves Community Garden,"11-01 30th
Avenue",Queens,11102,DPR,Q01,22,Yes,Yes
Windmill Community Garden,39-22 29th Street,Queens,11101,DPR,Q01,26,Yes,No
FF Michael Brennan Memo- rial (LIC Roots),"29-08 47th
Avenue",Queens,11101,MTA,Q02,26,No,No
Long Island City Community Garden,5-30 49th Avenue,Queens,11101,DPR,Q02,26,Yes,No
Queens New Roots (East),"41-38 69th St,
Flushing, Ny 11377",Queens,11377,DOT,Q02,26,No,No
Queens New Roots (West),"41-38 69th St,
Flushing, Ny 11377",Queens,11377,DOT,Q02,26,No,No
Smiling Hogshead Ranch,25-30 Skillman Avenue,Queens,11101,MTA,Q02,26,No,No
Sunnyside Park Community Garden,50th St. And Barnett Ave.,Queens,11104,PRI / DOT,Q02,26,No,No
97th Street Block Associ- ation,33-28 97th Street,Queens,11368,DPR,Q03,21,Yes,No
Malcolm X Garden,33-12 112th Street,Queens,11368,BQLT,Q03,21,No,No
McIntosh Neighborhood Association Garden,25-19 100th Street,Queens,11369,BQLT,Q03,21,Yes,No
Corona Taxpayers Associ- ation,"52-02 102nd
Street",Queens,11368,DPR,Q04,21,Yes,Yes
Sparrow's Nest Community Garden,54-01 101st Street,Queens,11368,DPR,Q04,21,Yes,No
Project Eden,67-2 Kessel Street,Queens,11375,DPR,Q06,29,Yes,No
Evergreen Community Garden,47-32 Colden Street,Queens,11355,DPR,Q07,20,Yes,Yes
Pembroke Avenue Commu- nity Garden,253-15 Pembroke Avenue,Queens,11362,NYRP,Q11,19,No,No
Back To Eden Community Garden,144-29 Lakewood Avenue,Queens,11435,BQLT,Q12,28,No,No
CPF Liberty Learning Garden,"106-18 173rd
Street",Queens,11433,DPR,Q12,27,No,No
"Curtis ""50 Cent"" Jackson Community Garden","117-09 165th
Street",Queens,11434,NYRP,Q12,27,No,No
Discovery Community Garden 1,108-59 Union Hall Street,Queens,11433,DPR,Q12,28,Yes,Yes
Discovery Community Garden 2,108-56 Union Hall Street,Queens,11433,DPR,Q12,28,Yes,Yes
Dunton And Civic Associa- tion Community Garden,143-01 Shore Avenue,Queens,11435,BQLT,Q12,28,No,No
George Eagle Carr Commu- nity Garden,89-23 148th Street,Queens,11435,DPR,Q12,24,Yes,Yes
George Washington Carver Botanical Garden,"109-19 156th
Street",Queens,11433,DPR,Q12,28,No,No
Linden Boulevard Commu- nity Garden,178-22 Linden Boulevard,Queens,11434,NYRP,Q12,27,No,No
Merrick-Marsden Neighbor- hood Association Garden,118-18 Merrick Boulevard,Queens,11434,BQLT,Q12,27,No,No
Merrick-Marsden Neighbor- hood Association Garden Ii,117-02 Merrick Boulevard,Queens,11434,BQLT,Q12,27,No,No
Paradise Garden,107-29 Inwood Street,Queens,11435,DPR,Q12,28,Yes,No
Trees Of Life Organic Garden,"106-18 173rd
Street",Queens,11433,DPR,Q12,27,Yes,No
GARDEN NAME,,,,,,,,
Cambria Heights Communi- ty Garden,227th St. Cambria Heights,Queens,11411,BQLT,Q13,27,No,No
Garden Of Resilience,"179-18 145th
Drive",Queens,11434,DPR,Q13,31,No,No
Bay Beach 84 Garden,3-22 Beach 84 Street,Queens,11693,DPR,Q14,31,Yes,No
Beach 91 Community Garden,136 Beach 91st Street,Queens,11693,PRI,Q14,32,No,No
Community Serenity Garden,30-15 Seagirt Boulevard,Queens,11691,DPR,Q14,31,Yes,Yes
Edgemere Coalition Com- munity Garden,480 Beach 43 Street,Queens,11691,DPR,Q14,31,No,No
Edgemere Farm,385 Beach 45th Street,Queens,11691,DPR,Q14,31,Yes,Yes
Far Rock Urban Agro-Educa- tion Center,378 Beach 45th Street,Queens,11691,DPR,Q14,31,Yes,Yes
Rockaway Roots Urban Farm,308 Beach 58th Street,Queens,11692,DPR,Q14,31,Yes,Yes
Rockaway Youth Task Force Urban Farm,310 Beach 58th Street,Queens,11692,DPR,Q14,31,Yes,Yes
Seagirt Boulevard Commu- nity Garden,30-03 Seagirt Boulevard,Queens,11691,NYRP,Q14,31,No,No
"Health For Youth, Skyline Playground Community Garden",40-66 Prospect Avenue,Staten Island,10301,DPR,R01,49,Yes,No
Hill Street Community Garden,50 Hill Street,Staten Island,10304,NYPD,R01,49,Yes,Yes
Joe Holzka Community Garden,1170 Castleton Avenue,Staten Island,10310,DPR,R01,49,Yes,Yes
Moravian Community Garden,1657 Victory Boulevard,Staten Island,10314,PRI,R01,50,No,No
Roots Of Peace Community Garden,390 Targee Street,Staten Island,10304,PRI / DOT,R01,49,No,No
West Brighton Community Garden,899 Henderson Avenue,Staten Island,10310,DPR,R01,49,Yes,No
Westervelt Community & Family Garden,143 Westervelt Avenue,Staten Island,10301,NYRP,R01,49,No,No
138th Street Community Garden,"624-638 East
138th Street",Bronx,10454,DPR,X01,8,Yes,Yes
Bruckner Mott Haven Garden,677 East 136th Street,Bronx,10454,BLT,X01,8,No,No
Cauldwell Youth Garden,551 Cauldwell Avenue,Bronx,10455,BLT,X01,17,No,No
Centro Cultural Rincon Criollo,749 Brook Avenue,Bronx,10451,DPR,X01,17,Yes,Yes
Courtland Avenue Asso- ciation,"364-366 East
158th Street",Bronx,10451,DPR,X01,17,Yes,Yes
Eagle Slope,586 Westchester Avenue,Bronx,10455,DPR,X01,17,Yes,Yes
El Batey Borincano,811-815 Eagle Avenue,Bronx,10456,DPR,X01,17,Yes,Yes
El Flamboyan,586 Tinton Avenue,Bronx,10455,DPR,X01,8,Yes,Yes
Family And Friends Commu- nity Garden,809 Courtlandt Avenue,Bronx,10451,DPR,X01,17,Yes,Yes
Family Group Garden,418 East 158th Street,Bronx,10451,DPR,X01,17,Yes,Yes
Friends Of Brook Park Com- munity Garden,494 East 141st Street,Bronx,10454,DPR,X01,8,Yes,Yes
GARDEN NAME,,,,,,,,
Grove Hill Community Garden,797 Eagle Ave. (E. 158 St.),Bronx,10456,DPR,X01,,Yes,Yes
Isla Verde Garden,625 Wales Avenue,Bronx,10455,DPR,X01,,Yes,Yes
La Finca Del Sur,175 East 138th Street,Bronx,10451,DPR/MTA,X01,,Yes,Yes
Latinos Unidos,427 East 157th Street,Bronx,10451,DPR,X01,,Yes,Yes
Neighborhood Advisory Committee Community Garden,360 E. 151st Street,Bronx,10455,BLT,X01,,No,No
El Jardin de Los Amigos de Moore,515 Jackson Avenue,Bronx,10455,NYCHA,X01,,No,No
NYRP Members Garden (Dalia Group),724 Courtlandt Avenue,Bronx,10455,NYRP,X01,,No,No
Padre Plaza,545 East 139th Street,Bronx,10454,DPR,X01,,Yes,Yes
Palmas Del Caribe (Eagle Av- enue Community Garden),869 Eagle Avenue,Bronx,10456,BLT,X01,,No,No
Rainbow Garden Of Life And Health,762 Melrose Avenue,Bronx,10451,DPR,X01,,Yes,Yes
St. Ann's Block Garden Association,"666-68 St. Ann's
Avenue",Bronx,10455,DPR,X01,,Yes,Yes
United We Stand Garden (Sun!ower / Girasol),627 East 137th Street,Bronx,10454,DPR,X01,,Yes,Yes
Vogue Community Garden,431 E. 156th Street,Bronx,10451,DPR,X01,,No,No
Wanaqua Garden,"460-464 E. 136th
Street",Bronx,10454,DPR,X01,,Yes,Yes
Willis Avenue Community Garden (Bronx Community & Cultural Garden),378 Willis Avenue,Bronx,10454,NYRP,X01,,No,No
Black Joy Farm,972 Simpson Street,Bronx,10459,DPR,X02,,Yes,Yes
Bryant Hill Community Garden,901 Bryant Avenue,Bronx,10474,DPR,X02,,Yes,Yes
Demera Santiago Garden,941 Avenue St. John,Bronx,10455,DPR,X02,,No,No
Mildred T. Rhodebeck Gar- den (Garden Of Eden),927 Faile Street,Bronx,10459,NYRP,X02,,No,No
New Hoe Avenue Garden,958 Hoe Avenue,Bronx,10459,DPR,X02,,Yes,No
Paradise On Earth Garden,"1101-1105 Fox
Street",Bronx,10459,NYRP,X02,,No,No
Schomburg Garden,1009 Rev James A Polite Avenue,Bronx,10459,DPR,X02,,No,No
The William Rainey Garden,685 Beck Street,Bronx,10455,BLT,X02,,No,No
Wishing Well Garden,886 Reverend James A. Polite Avenue,Bronx,10459,DPR,X02,,Yes,No
Bronx Sunshine Garden,1768 Bryant Avenue,Bronx,10460,DPR,X03,,Yes,Yes
El Coqui Community Garden,924 Melrose Avenue,Bronx,10451,DPR,X03,,Yes,Yes
Franklin Memorial Garden,1058 Cauldwell Ave,Bronx,10456,DPR,X03,,Yes,Yes
Freeman Garden,"1225 Hoe Avenue
Bronx, Ny 10459",Bronx,10459,DPR,X03,,Yes,No
Genesis Community Garden,1183 Franklin Avenue,Bronx,10456,DPR,X03,,Yes,Yes
Jackson Forest Garden,722 Home Street,Bronx,10456,DPR,X03,,Yes,Yes
GARDEN NAME,,,,,,,,
Jacqueline Denise Davis Garden,1022-1024 Boston Road,Bronx,10456,BLT,X03,16,No,No
Jardin De La Familia,1507 Washington Avenue,Bronx,10457,DPR,X03,16,Yes,Yes
Jardin De La Roca,422 East 160th St.,Bronx,10451,DPR,X03,17,Yes,Yes
Jennings Street Garden,745 Jennings Stt.,Bronx,10456,DPR,X03,16,No,No
La Isla Usa,836 Elton Avenue,Bronx,10451,DPR,X03,17,Yes,No
Melrose New Generation Community Garden,377 East 160th Street,Bronx,10451,DPR,X03,17,Yes,Yes
Model T Community Garden,1312 Bristow Street,Bronx,10459,DPR,X03,17,Yes,Yes
Morning Glory Community Garden,1221 Hoe Avenue,Bronx,10459,DPR,X03,17,Yes,Yes
Rainbow Block Association,379 East 159th Street,Bronx,10451,DPR,X03,17,Yes,Yes
Synergi Urban Garden,1211 Hoe Avenue,Bronx,10459,DPR,X03,17,Yes,Yes
Victory Garden,580 Crotona Park South,Bronx,10456,DPR,X03,17,Yes,Yes
Bette's Rose Garden,989 Teller Avenue,Bronx,10456,NYRP,X04,16,No,No
Claremont Neighborhood Garden,1280 Teller Avenue,Bronx,10456,DPR,X04,16,Yes,Yes
Clay Avenue Community Garden,"1328-1332 Clay
Avenue",Bronx,10456,NYRP,X04,16,No,No
College Avenue Garden,1420 College Avenue,Bronx,10456,DPR,X04,16,Yes,Yes
Dred Scott Bird Sanctuary Garden,1304 Grant Ave.,Bronx,10456,DPR,X04,16,No,Yes
Garden Of Eden,1686 Weeks Avenue,Bronx,10457,DPR,X04,15,Yes,Yes
Garden Of Life,1685 Weeks Avenue,Bronx,10457,DPR,X04,15,Yes,Yes
Grant Avenue Garden,1062 Grant Avenue,Bronx,10456,BLT,X04,16,No,No
La Isla,"96-98 W. 163rd
Street",Bronx,10452,DPR,X04,8,Yes,Yes
Las Casitas Community Garden,1130 Woodycrest Avenue,Bronx,10452,DPR,X04,16,Yes,Yes
Mosaic Center,1315 Odgen Avenue,Bronx,10452,DPR,X04,16,Yes,No
New Roots Community Farm,670 Grand Con- course,Bronx,10451,DOT,X04,17,No,No
Roberto Clemente Commu- nity Garden,"1272-1280 Shake-
speare Avenue",Bronx,10452,BLT,X04,16,No,No
"Sun, Wind & Shade Oasis",955 Sherman Avenue,Bronx,10456,BLT,X04,16,No,No
Taqwa Community Farm,90 W 164th Street,Bronx,10452,DPR,X04,8,Yes,Yes
Target Bronx (Anderson Av- enue Community Garden),1001 Anderson Avenue,Bronx,10452,NYRP,X04,8,Yes,No
Woodycrest Community Garden,949 Woodycrest Avenue,Bronx,10452,DPR,X04,8,Yes,Yes
Anthony Avenue Garden,2078 Anthony Avenue,Bronx,10457,BLT,X05,15,No,No
Bean Morris Garden,2096 Morris Avenue,Bronx,10453,DPR,X05,14,No,No
Creston Jungle Playground,2242 Creston Avenue,Bronx,10453,NYRP,X05,14,No,No
Eternal Life Community Garden,1810 University Avenue,Bronx,10453,DPR,X05,14,Yes,No
GARDEN NAME,,,,,,,,
Green Patch On Walton,110 East 176th Street,Bronx,10453,DPR,X05,14,Yes,Yes
Jardin De Las Rosas,15 Buchanan Place,Bronx,10453,DPR,X05,14,Yes,Yes
Leave It Better Kids Garden,1974 Grand Avenue,Bronx,10453,DPR,X05,14,Yes,No
Townsend Garden,1735 Walton Avenue,Bronx,10453,DPR,X05,14,Yes,Yes
Bathgate Garden,1836 Bathgate Avenue,Bronx,10457,NYRP,X06,15,No,No
Belmont Little Farmers,2483 Belmont Avenue,Bronx,10458,BLT,X06,15,No,No
Clinton Avenue Community Garden,757 East 179th Street,Bronx,10457,NYRP,X06,15,No,No
Cook Community Farm,2173 Bathgate Avenue,Bronx,10457,DPR,X06,15,Yes,Yes
Drew Garden,1059 East Tremont Avenue,Bronx,10460,NYSDOT,X06,17,No,No
El Batey De Dona Provi,504 East 178th Street,Bronx,10457,DPR,X06,15,Yes,Yes
Farm In The Bronx,2179 Washington Avenue,Bronx,10457,DPR,X06,15,Yes,Yes
Garden Of Happiness,"2156-2160 Pros-
pect Avenue",Bronx,10460,DPR,X06,15,Yes,Yes
Garden Of Youth,2175 Prospect Avenue,Bronx,10457,PRI,X06,15,No,No
Hispanos Unidos,2035 Honeywell Avenue,Bronx,10460,DPR,X06,17,Yes,Yes
Hornaday Community Garden,851 Hornaday Place,Bronx,10460,DPR,X06,15,Yes,Yes
Krystal Community Garden,2093 Vyse Avenue,Bronx,10460,DPR,X06,17,Yes,Yes
Mapes Avenue Garden (HDFC),2124 Mapes Avenue,Bronx,10460,BLT,X06,15,No,No
Miracle Garden - Bronx,851 Fairmont Place,Bronx,10460,DPR,X06,17,Yes,Yes
Perry's Garden (Concerned Tenants Of Daly Avenue),2139 Daly Avenue,Bronx,10460,BLT,X06,15,No,No
River Garden,1086 East 180th Street,Bronx,10460,DPR,X06,15,Yes,Yes
Tremont Community Garden,551 East 178th St.,Bronx,10457,BLT,X06,15,No,No
Bainbridge Avenue Garden,"2974-2980 Bain-
bridge Avenue",Bronx,10458,BLT,X07,11,No,No
Davidson Avenue Commu- nity Garden,2385 Davidson Avenue,Bronx,10468,BLT,X07,14,No,No
Fordham Bedford Lot-Bust- ers,2597 Bainbridge Avenue,Bronx,10458,BLT,X07,15,No,No
New Beginnings Communi- ty Garden,2502 Davidson Avenue,Bronx,10468,DPR,X07,14,No,No
Risse Street Community Garden,10 Risse Street Garden,Bronx,10468,DPR,X07,11,Yes,No
Kingsbridge Heights Com- munity Garden,3101 Kingsbridge Terrace,Bronx,10463,PRI,X08,14,No,No
Harding Park Beauti!cation Project,155 Harding Park,Bronx,10473,DPR,X09,18,Yes,Yes
Havemeyer Garden Asso- ciation,535 Havemeyer Avenue,Bronx,10473,DPR,X09,18,Yes,Yes
Manor Avenue Seniors Garden,1025 Manor Avenue,Bronx,10472,BLT,X09,18,No,No
Randall Community Garden,,,,,,,,
GARDEN NAME,,,,,,,,
Randall Community Garden,1834 Randall Avenue,Bronx,10473,DPR,X09,18,Yes,Yes
Waterfront Community Garden,2008 Gildersleeve xAvenue,Bronx,10473,DPR,X09,18,Yes,Yes
Glover Street Community Garden,1636 Castle Hill Avenue,Bronx,10462,NYRP,X10,18,No,No
Rivers Run Waterfront Com- munity Garden,801 Co-op City Blvd,Bronx,10475,PRI,X10,12,No,No
Pelham Organics,985 Warning Avenue,Bronx,10469,NYCHA,X11,13,No,No
211th Street Community Garden,3537 Carlisle Place,Bronx,10467,NYRP,X12,12,No,No
Bissel Gardens,4510 Furman Avenue,Bronx,10466,MTA,X12,11,No,No
Carpenter Avenue Commu- nity Garden,4501 Carpenter Avenue,Bronx,10470,DOT,X12,11,No,No
Jim Mackey Eastchester Road Community Garden,3658 Eastchester Road,Bronx,10466,NYRP,X12,12,No,No
