Year,GeoType,Borough,Community District Number,Community District Name,Total Population,Average household size,Children,Latino,White non-Hispanic,Black non-Hispanic,Asian,Other race,Two or more races,Total housing units,Occupied housing units,Vacant housing units
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,,,184
,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,94
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,199
,,,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,,,164
,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,130
,,,,,,,,,,,,,,,,98
,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,98
,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,238
,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,112
,,,,,,,,,,,,,,,,110
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,115
,,,,,,,,,,,,,,,,131
,,,,,,,,,,,,,,,,134
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,86
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,111
,,,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,101
,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,158
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,234
,,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,559
,,,,,,,,,,,,,,,,188
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,213
,,,,,,,,,,,,,,,,205
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,196
,,,,,,,,,,,,,,,,172
,,,,,,,,,,,,,,,,375
,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,225
,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,205
,,,,,,,,,,,,,,,,84
,,,,,,,,,,,,,,,,88
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,289
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,98
,,,,,,,,,,,,,,,,127
,,,,,,,,,,,,,,,,147
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,131
,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,99
,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,123
,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,110
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,83
,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,,,255
,,,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,123
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,189
,,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,,197
,,,,,,,,,,,,,,,,83
,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,73
,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,110
,,,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,131
,,,,,,,,,,,,,,,,87
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,86
,,,,,,,,,,,,,,,,84
,,,,,,,,,,,,,,,,219
,,,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,,,107
,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,122
,,,,,,,,,,,,,,,,89
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,83
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,,,122
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,,117
,,,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,101
,,,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,,,98
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,156
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,105
,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,120
,,,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,,,125
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,106
,,,,,,,,,,,,,,,,143
,,,,,,,,,,,,,,,,189
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,88
,,,,,,,,,,,,,,,,115
,,,,,,,,,,,,,,,,130
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,197
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,142
,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,118
,,,,,,,,,,,,,,,,124
,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,104
,,,,,,,,,,,,,,,,148
,,,,,,,,,,,,,,,,105
,,,,,,,,,,,,,,,,135
,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,80
,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,101
,,,,,,,,,,,,,,,,168
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,233
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,112
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,146
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,251
,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,310
,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,84
,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,115
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,117
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,124
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,122
,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,188
,,,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,,,212
,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,134
,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,245
,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,186
,,,,,,,,,,,,,,,,126
,,,,,,,,,,,,,,,,120
,,,,,,,,,,,,,,,,181
,,,,,,,,,,,,,,,,134
,,,,,,,,,,,,,,,,106
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,136
,,,,,,,,,,,,,,,,130
,,,,,,,,,,,,,,,,163
,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,170
,,,,,,,,,,,,,,,,85
,,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,171
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,108
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,175
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,211
,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,106
,,,,,,,,,,,,,,,,149
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,210
,,,,,,,,,,,,,,,,85
,,,,,,,,,,,,,,,,106
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,137
,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,86
,,,,,,,,,,,,,,,,98
,,,,,,,,,,,,,,,,159
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,132
,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,224
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,135
,,,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,99
,,,,,,,,,,,,,,,,119
,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,125
,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,184
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,121
,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,206
,,,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,,,185
,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,112
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,184
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,85
,,,,,,,,,,,,,,,,172
,,,,,,,,,,,,,,,,215
,,,,,,,,,,,,,,,,105
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,204
,,,,,,,,,,,,,,,,107
,,,,,,,,,,,,,,,,147
,,,,,,,,,,,,,,,,94
,,,,,,,,,,,,,,,,110
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,111
,,,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,113
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,238
,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,171
,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,110
,,,,,,,,,,,,,,,,134
,,,,,,,,,,,,,,,,146
,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,87
,,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,108
,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,94
,,,,,,,,,,,,,,,,89
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,110
,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,192
,,,,,,,,,,,,,,,,113
,,,,,,,,,,,,,,,,153
,,,,,,,,,,,,,,,,157
,,,,,,,,,,,,,,,,117
,,,,,,,,,,,,,,,,73
,,,,,,,,,,,,,,,,125
,,,,,,,,,,,,,,,,172
,,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,,125
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,185
,,,,,,,,,,,,,,,,160
,,,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,,,200
,,,,,,,,,,,,,,,,135
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,305
,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,150
,,,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,,,161
,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,,,133
,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,165
,,,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,105
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,148
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,80
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,,,89
,,,,,,,,,,,,,,,,89
,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,160
,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,85
,,,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,154
,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,101
,,,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,,,166
,,,,,,,,,,,,,,,,98
,,,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,169
,,,,,,,,,,,,,,,,117
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,85
,,,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,,,106
,,,,,,,,,,,,,,,,98
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,128
,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,117
,,,,,,,,,,,,,,,,88
,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,121
,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,122
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,293
,,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,136
,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,317
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,192
,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,,,157
,,,,,,,,,,,,,,,,80
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,,98
,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,94
,,,,,,,,,,,,,,,,476
,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,195
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,359
,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,170
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,406
,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,125
,,,,,,,,,,,,,,,,142
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,266
,,,,,,,,,,,,,,,,175
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,153
,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,174
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,104
,,,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,,,201
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,129
,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,106
,,,,,,,,,,,,,,,,193
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,88
,,,,,,,,,,,,,,,,133
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,129
,,,,,,,,,,,,,,,,88
,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,224
,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,172
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,142
,,,,,,,,,,,,,,,,112
,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,,,189
,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,85
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,147
,,,,,,,,,,,,,,,,201
,,,,,,,,,,,,,,,,73
,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,85
,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,99
,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,80
,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,142
,,,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,,,132
,,,,,,,,,,,,,,,,118
,,,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,,,112
,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,108
,,,,,,,,,,,,,,,,119
,,,,,,,,,,,,,,,,443
,,,,,,,,,,,,,,,,168
,,,,,,,,,,,,,,,,157
,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,111
,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,85
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,153
,,,,,,,,,,,,,,,,158
,,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,132
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,144
