Year,Organization Group,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary
2004,Community Health,Nursing,Nursing Supervisor,208177.47,0,39278.77,247456.24
2007,Public Protection,Police Services,Inspector 3,98179.69,14722.36,134411.08,247313.13
2001,Community Health,Medical & Dental,Senior Physician Specialist,234277.01,0,13035,247312.01
1994,Public Protection,Fire Services,"Captain, Fire Suppression",149531.75,83371.33,14339.73,247242.81
2007,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",190589.36,22464.52,34156.26,247210.14
1998,Public Protection,Fire Services,"Lieutenant, Fire Suppression",131643.18,90913.1,24533.69,247089.97
1993,Public Protection,Fire Services,"Captain, Fire Suppression",151020.46,74424.16,21630.27,247074.89
1999,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130265.76,100421.65,16303.89,246991.3
1992,Community Health,Nursing,Nursing Supervisor,208489.6,0,38489.07,246978.67
1997,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130363.76,95466.69,21110.11,246940.56
1992,Community Health,Medical & Dental,Supervising Physician Spec,241280,0,5620,246900
2001,Community Health,Nursing,Nursing Supervisor,209309.8,0,37538.3,246848.1
2008,"Public Works, Transportation & Commerce",Port Operation,Port Director,246846,0,0,246846
2014,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.87,100962,15639.86,246831.73
2012,Public Protection,Fire Services,"Captain, Fire Suppression",164433.49,50511.54,31870.82,246815.85
2007,Community Health,Medical & Dental,Senior Physician Specialist,203605.62,0,43084.91,246690.53
2002,Community Health,Medical & Dental,Supervising Physician Spec,242139.5,0,4545,246684.5
2001,Public Protection,Legal & Court,District Attorney,246665.08,0,0,246665.08
2003,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179194.78,41242.19,26198.48,246635.45
1993,Community Health,Medical & Dental,Senior Physician Specialist,234884,0,11744.2,246628.2
2006,Community Health,Nursing,Nursing Supervisor,209298.21,0,37240.81,246539.02
1997,Community Health,Medical & Dental,Senior Physician Specialist,211770.91,0,34765.65,246536.56
2004,Community Health,Medical & Dental,Senior Physician Specialist,241547.32,0,4945,246492.32
1996,Public Protection,Fire Services,"Captain, Fire Suppression",151612.52,67292.55,27580.18,246485.25
1998,General Administration & Finance,Management,Dep Dir IV,246463.13,0,0,246463.13
2012,Public Protection,Fire Services,"Lieutenant, Fire Suppression",134696.72,82167.27,29593.49,246457.48
1999,Public Protection,Correction & Detention,Sheriff (SFERS),232498.8,0,13949.93,246448.73
1999,Public Protection,Fire Services,Pilot Of Fire Boats,154050.39,82384.22,10013.27,246447.88
2012,Community Health,Nursing,Nursing Supervisor,207132.8,0,39273.11,246405.91
2012,Public Protection,Police Services,Commander 3,226652.7,0,19726.14,246378.84
2001,Public Protection,Police Services,Sergeant 3,140566,99053.24,6482.39,246101.63
2005,Community Health,Medical & Dental,Senior Physician Specialist,234277,0,11713.86,245990.86
1998,Public Protection,Police Services,Police Officer 3,127826.15,106538.24,11517.56,245881.95
1999,Public Protection,Fire Services,"Captain, Fire Suppression",231272.12,0,14567.98,245840.1
2006,Public Protection,Fire Services,EMT/Paramedic/Firefighter,133972.66,87032.69,24739.62,245744.97
2004,Community Health,Medical & Dental,Senior Physician Specialist,201878,0,43841.7,245719.7
2009,Community Health,Medical & Dental,Senior Physician Specialist,200158.44,0,45539.54,245697.98
2009,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",182976.64,33772.66,28927.46,245676.76
1995,Public Protection,Police Services,"Inspector, (Police Department)",122745.17,14533.89,108394.96,245674.02
2016,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.18,35233.75,30963.02,245660.95
2002,Public Protection,Management,Dept Head IV,245613.05,0,0,245613.05
2006,Public Protection,Correction & Detention,Deputy Sheriff,105023.3,126723.58,13780.5,245527.38
2013,"Public Works, Transportation & Commerce",Street Transit,Transit Supervisor,120472.9,108577.24,16453.51,245503.65
2004,Community Health,Medical & Dental,Supervising Physician Spec,241542.33,0,3960,245502.33
2011,Community Health,Medical & Dental,Senior Physician Specialist,243095.42,0,2400,245495.42
2016,Public Protection,Fire Services,EMT/Paramedic/Firefighter,131535.71,97483.25,16441.92,245460.88
2016,General Administration & Finance,Management,Manager VIII,245430.4,0,0,245430.4
1999,Public Protection,Police Services,Police Officer 3,109180.53,44928.96,91317.32,245426.81
2009,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",183152.87,31099.64,31116.3,245368.81
2004,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",184897.15,49071.26,11381.7,245350.11
2015,Community Health,Medical & Dental,Senior Physician Specialist,233591.55,0,11679.58,245271.13
2008,Public Protection,Police Services,Lieutenant 3,113936,0,131275.37,245211.37
2004,Public Protection,Management,Assistant Deputy Chief 2,231272.14,0,13876.33,245148.47
2015,Public Protection,Management,Emergency Medical Svcs Chief,231272.12,0,13876.33,245148.45
2013,Public Protection,Management,Emergency Medical Svcs Chief,231272.1,0,13876.32,245148.42
2006,"Public Works, Transportation & Commerce",Street Transit,Transit Operations Specialist,120627.2,99367.54,25101.18,245095.92
2004,"Public Works, Transportation & Commerce",Management,Dep Dir V,245088.61,0,0,245088.61
1999,"Public Works, Transportation & Commerce",Management,Dep Dir V,245088.6,0,0,245088.6
1996,Public Protection,Correction & Detention,Sheriff's Sergeant,122936.24,91256.76,30868.79,245061.79
1995,Public Protection,Fire Services,"Captain, Fire Suppression",148706.55,77787.08,18525.13,245018.76
1994,General Administration & Finance,Legal & Court,"Cfdntal Chf Atty 2,(Cvl&Crmnl)",245009.55,0,0,245009.55
1993,General Administration & Finance,Legal & Court,"Cfdntal Chf Atty 2,(Cvl&Crmnl)",245009.55,0,0,245009.55
2011,General Administration & Finance,Legal & Court,"Cfdntal Chf Atty 2,(Cvl&Crmnl)",245009.52,0,0,245009.52
2013,Community Health,Nursing,Nursing Supervisor Psychiatric,198473.13,0,46524.66,244997.79
2005,Public Protection,Police Services,Captain 3,102452.5,0,142514.29,244966.79
2007,Public Protection,Fire Services,"Captain, Fire Suppression",179464.24,53365.24,12136.64,244966.12
2017,Community Health,"Lab, Pharmacy & Med Techs",Diagnostic Imaging Tech III,130725.91,13237.51,100988.25,244951.67
1997,Public Protection,Fire Services,EMT/Paramedic/Firefighter,131805.59,95333.94,17798.03,244937.56
1995,Community Health,Nursing,Nurse Manager,190752.7,0,54035.77,244788.47
2016,Culture & Recreation,Management,Dept Head IV,244723.64,0,0,244723.64
2004,Community Health,Nursing,Anesthetist,226605.35,5659.63,12450.97,244715.95
1995,Community Health,Medical & Dental,Senior Physician Specialist,203822,0,40893.3,244715.3
2004,Public Protection,Fire Services,"Captain, Fire Suppression",148121.09,71037.17,25460.65,244618.91
2002,Community Health,Medical & Dental,Supervising Physician Spec,240220.6,0,4230,244450.6
2011,Public Protection,Police Services,Sergeant 3,125399.51,13033.62,105984.71,244417.84
2014,Public Protection,Correction & Detention,Senior Deputy Sheriff,106774.55,115604.98,21962.22,244341.75
1994,Public Protection,Fire Services,EMT/Paramedic/Firefighter,131535.73,93020.28,19659.4,244215.41
1997,"Public Works, Transportation & Commerce",Management,Executive Contract Employee,244122.05,0,0,244122.05
2012,General Administration & Finance,Legal & Court,Chief Atty1 (Civil & Criminal),110012.72,0,133996.58,244009.3
2001,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",184897.14,21126.08,37821.03,243844.25
1992,Community Health,Nursing,Nursing Supervisor,221806.46,0,22030.56,243837.02
2001,Community Health,Medical & Dental,Senior Physician Specialist,189859.27,0,53971.48,243830.75
2005,Public Protection,Police Services,Commander 3,225791.13,0,18012.73,243803.86
1995,Public Protection,Fire Services,"Captain, Fire Suppression",151527.9,71410.9,20838.84,243777.64
1997,Public Protection,Fire Services,EMT/Paramedic/Firefighter,131535.69,96415.51,15796.65,243747.85
2014,Community Health,Medical & Dental,Senior Physician Specialist,211847.43,0,31777.1,243624.53
2007,Community Health,Nursing,Nurse Manager,205522.31,0,38075.58,243597.89
2011,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",178067.43,45778.67,19712.24,243558.34
2016,Public Protection,Police Services,Sergeant 3,145010.61,90391.46,8056.49,243458.56
2010,Community Health,Medical & Dental,Supervising Physician Spec,233013.41,0,10306,243319.41
2006,Public Protection,Police Services,Captain 3,110304.01,0,132927.66,243231.67
2009,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961.08,102526.42,9741.62,243229.12
2006,Community Health,Medical & Dental,Senior Physician Specialist,230882.34,0,12345,243227.34
1994,Public Protection,Fire Services,EMT/Paramedic/Firefighter,132192.79,94353.57,16596.58,243142.94
2003,Community Health,Medical & Dental,Senior Physician Specialist,243095.42,0,0,243095.42
1997,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",183152.81,40188.92,19730.47,243072.2
1992,Community Health,Management,Manager VIII,243052.45,0,0,243052.45
2008,Public Protection,Fire Services,"Lieut,Fire Prev",168451.84,2055.55,72536.73,243044.12
2003,Community Health,Medical & Dental,Senior Physician Specialist,187249.85,0,55593.6,242843.45
1995,General Administration & Finance,Legal & Court,City Attorney,242822.65,0,0,242822.65
1999,Public Protection,Legal & Court,Public Defender,242730,0,0,242730
2010,Community Health,Medical & Dental,Supervising Physician Spec,237058.5,0,5660,242718.5
1999,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.21,38312,24871.46,242647.67
1999,Public Protection,Fire Services,"Captain, Fire Suppression",149323.13,61146.07,32156.7,242625.9
2016,Public Protection,Fire Services,"Captain, Fire Suppression",152445.2,70101.72,20055.04,242601.96
2004,Public Protection,Correction & Detention,Deputy Sheriff,96318.9,124034.63,22185.38,242538.91
2016,Public Protection,Fire Services,"Lieutenant, Fire Suppression",129817.24,96076.77,16610.51,242504.52
1998,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.91,96401.11,15832.86,242463.88
2012,Public Protection,Police Services,Police Officer 3,113704.52,60718.28,68005.44,242428.24
2015,"Public Works, Transportation & Commerce",Journeyman Trade,Transit Power Line Worker,115277,126928.45,164.76,242370.21
1992,Public Protection,Police Services,Police Officer 3,113942.52,7846.15,120572.7,242361.37
1994,"Public Works, Transportation & Commerce",Street Transit,Transit Operations Specialist,108818.1,118713.45,14789.35,242320.9
2004,Public Protection,Fire Services,Incident Support Specialist,125157.11,96486.82,20650.98,242294.91
2011,Community Health,Nursing,Anesthetist,228299.45,4176.06,9799.94,242275.45
2012,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961.09,92552.22,18742.23,242255.54
2017,Public Protection,Police Services,Police Officer 2,117705.03,83813.33,40713.79,242232.15
2007,Public Protection,Police Services,Police Officer,112737.57,91968.57,37486.96,242193.1
2005,Public Protection,Police Services,Sergeant 3,142762.71,82882.69,16410.26,242055.66
1995,Public Protection,Fire Services,Firefighter,115480.66,105590.73,20910.12,241981.51
1998,Public Protection,Correction & Detention,Sheriff's Lieutenant,145420.21,66355.46,30168.17,241943.84
2016,Public Protection,Police Services,Sergeant 3,142366.66,78416.91,21143.96,241927.53
1997,Public Protection,Fire Services,"Lieutenant, Fire Suppression",148720.53,81737.35,11449.54,241907.42
1992,Community Health,Nursing,Nursing Supervisor,196172.4,0,45730.85,241903.25
2011,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.93,97202.53,14362.14,241794.6
2004,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",183814.2,34811.35,23074.9,241700.45
2007,"Public Works, Transportation & Commerce",Management,Dep Dir V,241689.61,0,0,241689.61
1993,Public Protection,Fire Services,"Lieutenant, Fire Suppression",131473.75,89534.74,20647.86,241656.35
2002,Public Protection,Fire Services,"Capt,Fire Prev Or Fire Invsgtn",171386.37,55793.57,14407.86,241587.8
2011,Community Health,Nursing,Nursing Supervisor,202989,0,38567.91,241556.91
2006,Community Health,Medical & Dental,Senior Physician Specialist,241096.91,450.4,0,241547.31
2012,Community Health,Medical & Dental,Senior Physician Specialist,241547.3,0,0,241547.3
2001,Community Health,Nursing,Nursing Supervisor Psychiatric,202989,0,38499.38,241488.38
1997,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130338.21,90496.37,20595.94,241430.52
2003,Community Health,Nursing,Nursing Supervisor,202393.73,0,39012.02,241405.75
2015,Public Protection,Fire Services,"Captain, Fire Suppression",206411.89,21823.64,13168.03,241403.56
2006,General Administration & Finance,Management,Dep Dir V,241395.22,0,0,241395.22
1994,Public Protection,Fire Services,"Lieutenant, Fire Suppression",132267.1,92542.89,16533.36,241343.35
1992,Culture & Recreation,Management,Dept Head IV,241298.7,0,0,241298.7
1996,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130944.58,88524.82,21722.87,241192.27
2006,Community Health,Medical & Dental,Senior Physician Specialist,199638.93,0,41541.63,241180.56
2015,Public Protection,Police Services,Inspector 3,88926.71,31069.44,121155.77,241151.92
1996,"Public Works, Transportation & Commerce",Street Transit,"Deputy Dir II, MTA",241092.26,0,0,241092.26
1993,Public Protection,Correction & Detention,Sheriff's Captain,166465.8,49086.49,25456.52,241008.81
2006,Public Protection,Fire Services,"Insp, Fire Dept",135824,93620.69,11562.87,241007.56
2001,Community Health,Medical & Dental,Senior Physician Specialist,234382.44,0,6592.5,240974.94
1996,Public Protection,Fire Services,"Captain, Fire Suppression",149531.77,53908.82,37511.29,240951.88
2006,Public Protection,Police Services,Sergeant 3,143289.77,84422.52,13227.86,240940.15
2011,Community Health,Medical & Dental,Supervising Physician Spec,235150.29,0,5750,240900.29
2004,Public Protection,Fire Services,EMT/Paramedic/Firefighter,129001.34,95556.16,16334.39,240891.89
1996,Public Protection,Fire Services,Firefighter,112703.72,108357.21,19797.46,240858.39
2017,Public Protection,Correction & Detention,Deputy Sheriff,100233.43,121090.12,19486.72,240810.27
2005,"Public Works, Transportation & Commerce",Management,Dep Dir V,240741.11,0,0,240741.11
2001,Public Protection,Fire Services,EMT/Paramedic/Firefighter,131535.7,92756.19,16441.92,240733.81
2011,Public Protection,Police Services,Lieutenant 3,177488.12,41552.42,21687.95,240728.49
2000,General Administration & Finance,Med Therapy & Auxiliary,Asst Med Examiner,218280.34,377.21,22024.55,240682.1
1993,Public Protection,Police Services,Sergeant 3,138579.14,73406.57,28552.74,240538.45
2009,Community Health,Medical & Dental,Senior Physician Specialist,227838,0,12691.91,240529.91
2014,Public Protection,Police Services,Sergeant 3,142065.88,6990.91,91432.61,240489.4
1999,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",182754.33,32122.78,25603.88,240480.99
1993,Community Health,Nursing,Anesthetist,205197.88,19473.36,15782.78,240454.02
1996,Public Protection,Fire Services,Firefighter,116099.5,101113,23238.82,240451.32
1992,Public Protection,Legal & Court,District Attorney,240430.71,0,0,240430.71
2002,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181266.58,32863.12,26241.12,240370.82
1997,Public Protection,Police Services,Lieutenant 3,160150.11,73617.15,6575.49,240342.75
2009,"Public Works, Transportation & Commerce",Street Transit,"Deputy Dir II, MTA",240302.1,0,0,240302.1
2000,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130444.91,101472.99,8310.52,240228.42
2012,Community Health,Medical & Dental,Supervising Physician Spec,240220.6,0,0,240220.6
1994,Public Protection,Fire Services,"Lieutenant, Fire Suppression",133514.91,84923.64,21662.42,240100.97
1994,Public Protection,Police Services,Police Officer 3,143609.21,22200.61,74231.55,240041.37
2016,Public Protection,Fire Services,"Captain, Fire Suppression",149531.77,71117.54,19376.07,240025.38
2012,Community Health,Nursing,Nursing Supervisor,202251.5,0,37721.29,239972.79
2003,Community Health,Medical & Dental,Senior Physician Specialist,235787.4,0,4185,239972.4
2000,Community Health,Nursing,Nursing Supervisor,202989.04,0,36944.62,239933.66
2014,Public Protection,Fire Services,"Captain, Fire Suppression",151020.51,59247.91,29626.54,239894.96
2017,Public Protection,Fire Services,EMT/Paramedic/Firefighter,134809.24,86658.07,18423.79,239891.1
2006,Public Protection,Police Services,Sergeant 3,143853.74,73210.87,22802.19,239866.8
2012,Community Health,Medical & Dental,Senior Physician Specialist,208549.01,0,31282.36,239831.37
2012,General Administration & Finance,Legal & Court,"Cfdntal Chf Atty 2,(Cvl&Crmnl)",239822.34,0,0,239822.34
2006,Community Health,Medical & Dental,Senior Physician Specialist,227242.5,0,12562.13,239804.63
1998,Community Health,Nursing,Nurse Manager,183067.61,0,56719.62,239787.23
2016,Public Protection,Fire Services,EMT/Paramedic/Firefighter,135439.54,84911.09,19245.72,239596.35
2013,Community Health,Medical & Dental,Senior Physician Specialist,207209.9,0,32381.5,239591.4
2015,Public Protection,Protection & Apprehension,Public Safetycomm Disp,99571.51,120833.48,19161.54,239566.53
2003,Public Protection,Fire Services,"Capt,Fire Prev Or Fire Invsgtn",167332.53,58801.17,13386.6,239520.3
2014,Community Health,Nursing,Anesthetist,226507.08,2847.68,10009.35,239364.11
2016,Community Health,Management,Manager VIII,239316.02,0,0,239316.02
1995,Public Protection,Police Services,Captain 3,0,0,239294.57,239294.57
1997,Public Protection,Fire Services,Firefighter,118571.96,91748.17,28922.69,239242.82
2005,Community Health,Management,Manager VIII,239224.39,0,0,239224.39
2006,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130250.59,98046.55,10890.86,239188
1996,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.94,92593.27,16292.51,239115.72
2002,Public Protection,Fire Services,EMT/Paramedic/Firefighter,131535.72,95168.22,12389.8,239093.74
2011,Public Protection,Police Services,Sergeant 3,144444.72,81234.11,13395.61,239074.44
1997,Public Protection,Police Services,Police Officer 3,125939.94,101123.17,11998.89,239062
2016,Community Health,Medical & Dental,Senior Physician Specialist,227693.79,0,11357.35,239051.14
2007,Public Protection,Fire Services,"Captain, Fire Suppression",151020.47,68272.92,19729.08,239022.47
2012,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.25,33879.74,25664.3,239008.29
2004,Community Health,Nursing,Nursing Supervisor,220171.45,0,18772.2,238943.65
2003,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Track Maint Wrk Sprv 1,98541.82,134525.03,5840.99,238907.84
1997,"Public Works, Transportation & Commerce",Street Transit,"Deputy Dir II, MTA",238760,0,103,238863
1993,Community Health,Medical & Dental,Senior Physician Specialist,227452.77,0,11372.64,238825.41
1999,Community Health,Medical & Dental,Senior Physician Specialist,227418.34,0,11370.91,238789.25
2016,"Public Works, Transportation & Commerce",Street Transit,Train Controller,89048.4,132995.8,16741.87,238786.07
2009,General Administration & Finance,Personnel,Human Resources Director,238784.45,0,0,238784.45
2014,Public Protection,Fire Services,"Captain, Fire Suppression",154050.43,66424.96,18245.67,238721.06
2013,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Track Maint Wrk Sprv 1,98530.25,125691.69,14464.86,238686.8
2015,Public Protection,Fire Services,"Captain, Fire Suppression",149263.19,66997.15,22334.74,238595.08
2014,Public Protection,Fire Services,"Captain, Emergency Med Svcs",152445.23,67089.06,19055.63,238589.92
1997,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.93,85847.7,22491.65,238569.28
2003,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),207780.24,660.47,30128.21,238568.92
2016,Public Protection,Fire Services,"Captain, Fire Suppression",149531.79,74592.05,14434.09,238557.93
1993,Community Health,Nursing,Nursing Supervisor,216823.94,0,21682.39,238506.33
2014,Public Protection,Police Services,Lieutenant 3,109177.76,6708.8,122536.36,238422.92
2005,Public Protection,Police Services,Commander 3,219161.75,0,19219.89,238381.64
1992,Community Health,Nursing,Anesthetist,225446.95,2553.6,10375.31,238375.86
2013,Public Protection,Police Services,Inspector 3,153364.78,58732.15,26253.44,238350.37
2015,Community Health,Nursing,Nursing Supervisor Psychiatric,201420.6,0,36899.39,238319.99
2010,Community Health,Medical & Dental,Senior Physician Specialist,228714.33,0,9600,238314.33
1998,Community Health,Medical & Dental,Senior Physician Specialist,228714.31,0,9600,238314.31
2008,Public Protection,Legal & Court,Assistant Chief Attorney 2,232107.37,0,6142.15,238249.52
2011,Public Protection,Fire Services,"Captain, Fire Suppression",151020.52,59471.2,27723.79,238215.51
2010,Public Protection,Correction & Detention,Deputy Sheriff,96735.12,124273.8,17206.54,238215.46
2001,Public Protection,Fire Services,"Lieutenant, Fire Suppression",132783.35,86434.55,18948.9,238166.8
2005,Community Health,Nursing,Nursing Supervisor,200085.3,0,38016.21,238101.51
2010,Public Protection,Fire Services,"Capt,Fire Prev Or Fire Invsgtn",171059.88,56706.86,10263.59,238030.33
2003,Community Health,Medical & Dental,Senior Physician Specialist,237068.38,0,950,238018.38
2008,Community Health,Nursing,Anesthetist,225650.76,4719.92,7624.56,237995.24
2017,Community Health,Nursing,Nursing Supervisor,199943.4,0,37989.25,237932.65
2001,Community Health,Nursing,Nursing Supervisor,202251.5,0,35643.01,237894.51
2011,Public Protection,Fire Services,"Lieutenant, Fire Suppression",134390.12,83634.58,19799.35,237824.05
1999,General Administration & Finance,Management,Dept Head IV,237751.69,0,0,237751.69
2015,Public Protection,Police Services,Commander 3,223225.23,0,14468.33,237693.56
1994,Community Health,Nursing,Nursing Supervisor,192192,0,45460.8,237652.8
1992,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.24,34530.69,23651.92,237646.85
1993,Public Protection,Fire Services,"Captain, Fire Suppression",94482.5,0,143156.2,237638.7
2004,General Administration & Finance,Management,Manager VIII,237618.74,0,0,237618.74
2002,Community Health,Nursing,Anesthetist,225989.57,2204.12,9402.76,237596.45
1994,Public Protection,Fire Services,"Capt,Fire Prev Or Fire Invsgtn",170570.23,56535.45,10479.05,237584.73
2006,Public Protection,Fire Services,"Lieutenant, Fire Suppression",132267.09,82629.5,22645.81,237542.4
1992,Public Protection,Police Services,Commander 3,218322.04,0,19203.93,237525.97
2013,Community Health,Nursing,Anesthetist,221689,7618.98,8210.48,237518.46
2005,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),207437.76,0,30078.56,237516.32
1998,Community Health,Nursing,Anesthetist,206245.76,6868.06,24401.76,237515.58
2008,Public Protection,Police Services,Sergeant 3,142688.88,53731.66,41091.09,237511.63
2016,Public Protection,Fire Services,"Captain, Fire Suppression",151020.51,66755.63,19681.35,237457.49
2014,General Administration & Finance,Management,Manager VIII,237393.76,0,0,237393.76
1993,Community Health,Nursing,Nursing Supervisor,189565.25,0,47808.63,237373.88
1998,Public Protection,Fire Services,"Captain, Emergency Med Svcs",148962.49,68127.69,20255.38,237345.56
2016,Community Health,Medical & Dental,Senior Physician Specialist,193187.46,0,44113.12,237300.58
2010,"Public Works, Transportation & Commerce",Management,Dep Dir IV,237281.1,0,0,237281.1
1996,Public Protection,Fire Services,Firefighter,116099.5,95530.81,25644.79,237275.1
2002,Community Health,Management,Manager VIII,237247.51,0,0,237247.51
2009,Community Health,Nursing,Nursing Supervisor,199943.4,0,37303.99,237247.39
2013,Community Health,Management,Manager VIII,237245.43,0,0,237245.43
1996,Public Protection,Fire Services,"Captain, Emergency Med Svcs",149778.65,68723.95,18722.34,237224.94
2010,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Wire Rope Cable Maint Sprv,164920.44,59582.22,12703.24,237205.9
2013,Public Protection,Police Services,Lieutenant 3,165959.1,63562.38,7560.97,237082.45
1997,Community Health,Nursing,Nursing Supervisor Psychiatric,209298.2,0,27770.59,237068.79
2015,Community Health,Nursing,Nurse Practitioner,213183.88,22396.33,1466.5,237046.71
2006,Public Protection,Police Services,Lieutenant 2,158513.79,62637.84,15892.13,237043.76
1995,Community Health,Nursing,Nursing Supervisor,197839.6,0,39179.33,237018.93
2016,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.91,89855.14,16761.54,236846.59
2013,Public Protection,Police Services,Police Officer 3,100148.72,43188.06,93472.57,236809.35
2014,Community Health,Nursing,Anesthetist,223472.28,1328.01,11973.23,236773.52
2014,Public Protection,Fire Services,EMT/Paramedic/Firefighter,132776.59,88094.83,15871.11,236742.53
2001,Public Protection,Fire Services,Incident Support Specialist,127661.7,86701.49,22370.68,236733.87
2000,Community Health,Medical & Dental,Senior Physician Specialist,191303.82,306.94,45060.59,236671.35
1997,Public Protection,Fire Services,Firefighter,115004.17,88195.96,33448.2,236648.33
2013,Community Health,Management,Manager VIII,236626.51,0,0,236626.51
2012,"Public Works, Transportation & Commerce",Management,Dep Dir V,236626.5,0,0,236626.5
2015,Public Protection,Police Services,Inspector 3,127368,0,109253.82,236621.82
1993,Public Protection,Police Services,Commander 3,217482.34,0,19112.87,236595.21
2002,Public Protection,Fire Services,"Captain, Emergency Med Svcs",148327.51,69825.58,18430.54,236583.63
2000,Public Protection,Fire Services,"Captain, Fire Suppression",150117.22,66591.53,19854.61,236563.36
2010,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.89,89841.46,16488.59,236559.94
1994,Public Protection,Fire Services,Firefighter,112889.8,87867.61,35799.68,236557.09
2001,Public Protection,Police Services,Commander 3,225791.11,0,10745.89,236537
2007,Community Health,Nursing,Nursing Supervisor,196451.65,0,40033.63,236485.28
1992,Community Health,Medical & Dental,Senior Physician Specialist,181161.9,0,55299.29,236461.19
2001,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.21,27928.93,29066.07,236459.21
1992,Public Protection,Fire Services,"Captain, Emergency Med Svcs",148740.76,64267.07,23434.29,236442.12
2008,"Public Works, Transportation & Commerce",Professional Engineering,Landscape Architect Assoc 2,236423.14,0,0,236423.14
2009,Public Protection,Fire Services,"Lieutenant, Fire Suppression",131177.25,87410.26,17831.37,236418.88
1993,Community Health,Medical & Dental,Senior Physician Specialist,223384.44,0,12994.84,236379.28
2002,General Administration & Finance,Med Therapy & Auxiliary,Asst Med Examiner,217155.33,456.1,18713.85,236325.28
2003,Community Health,Nursing,Nurse Manager,199359.62,0,36926.5,236286.12
2013,Public Protection,Police Services,Sergeant 3,142142.09,58971.4,35092.81,236206.3
2000,Community Health,Nursing,Nurse Manager,177290.6,0,58914.73,236205.33
2015,Public Protection,Fire Services,"Lieut,Fire Prev",168331.24,53230.27,14640.29,236201.8
2013,"Public Works, Transportation & Commerce",Management,Manager VIII,236199.32,0,0,236199.32
1997,"Public Works, Transportation & Commerce",Management,Manager VIII,236199.28,0,0,236199.28
1995,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130679.72,81093.77,24346.28,236119.77
2016,Public Protection,Legal & Court,Public Defender,236104.35,0,0,236104.35
1992,Public Protection,Legal & Court,Chief Atty1 (Civil & Criminal),234586.82,0,1500,236086.82
1992,General Administration & Finance,Legal & Court,Chief Atty1 (Civil & Criminal),234586.8,0,1500,236086.8
2000,Public Protection,Police Services,Sergeant 3,142688.8,68077.56,25309.39,236075.75
1996,Public Protection,Fire Services,"Captain, Emergency Med Svcs",152445.25,68706.72,14877.61,236029.58
2012,Public Protection,Police Services,Inspector 3,144915.73,72683.62,18403.96,236003.31
1994,Public Protection,Fire Services,EMT/Paramedic/Firefighter,134173.75,84951.94,16771.78,235897.47
1997,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.23,42055.68,14356.97,235876.88
1993,Community Health,Nursing,Anesthetist,219831.41,1583.78,14413.9,235829.09
2007,Public Protection,Police Services,Inspector 3,130021.73,30426.8,75352.1,235800.63
2000,Community Health,Nursing,Nursing Supervisor,198146,0,37647.75,235793.75
1994,Community Health,Medical & Dental,Senior Physician Specialist,235787.4,0,0,235787.4
2012,Community Health,Medical & Dental,Senior Physician Specialist,235787.4,0,0,235787.4
1997,Public Protection,Fire Services,EMT/Paramedic/Firefighter,131535.68,87239.03,16993.92,235768.63
2013,Public Protection,Management,Dept Head IV,235760.08,0,0,235760.08
1997,Culture & Recreation,Management,Dept Head IV,235744.2,0,0,235744.2
